city,country,activities
Marrakech,Morocco,"[""Amal Women's Training Centre"", ""Bahia Palace"", ""Bazaar Cafe"", ""Cafe Clock"", ""Cafe des Epices"", ""Cooking Class with Local Chef"", ""Dar Moha"", ""Dessert at Patisserie des Princes"", ""Dine at Le Comptoir Darna"", ""Dine at Le Jardin"", ""Dine at Nomad"", ""Dining at Al Fassia"", ""Dining at Djemaa El-Fna Food Stalls"", ""Drink at Sky Bar"", ""Earth Cafe"", ""Enjoy Live Music at Caf\u00e9 Clock"", ""Experience Shisha at Dar Anika"", ""Hammam Experience"", ""Henna Art Cafe"", ""Hidden Gem: Amal Women's Training Center"", ""Jemaa el-Fnaa"", ""Koutoubia Mosque"", ""Le Jardin Secret"", ""Le Trou Au Mur"", ""Majorelle Garden"", ""Marche Central and Marche Bab Doukkala"", ""Mint Tea Making"", ""Naranj"", ""Night Tour of the Medina"", ""Party at Theatro Marrakech"", ""Relax at Le Salama"", ""Saadian Tombs"", ""Souks of Marrakech"", ""Street Food Tasting Tour"", ""Visit Azar Restaurant & Lounge"", ""Visit Jemaa el-Fnaa at Night""]"
Marsa Alam,Egypt,"[""Abu Dabbab Beach"", ""Al Nayzak"", ""Qulaan Islands"", ""Wadi El Gemal National Park""]"
Marsa Matrouh,Egypt,"[""Marsa Matrouh""]"
Marsaxlokk,Malta,"[""Explore the Sunday Fish Market"", ""St. Peter\u2019s Pool""]"
Martil,Morocco,"[""Beach and Local Experience""]"
Matmata,Tunisia,"[""Eat in a Troglodyte House"", ""Troglodyte Homes"", ""Try Berber Omelette at Hotel Sidi Driss""]"
Mdina,Malta,"[""Fontanella Tea Garden"", ""St. Paul\u2019s Catacombs"", ""Walk Through the Silent City""]"
Mecca,Saudi arabia,"[""Masjid al-Haram (Great Mosque)""]"
Medina,Saudi arabia,"[""Al-Masjid an-Nabawi (Prophet's Mosque)""]"
Meknes,Morocco,"[""Bab Mansour"", ""Moulay Idriss Zerhoun"", ""Volubilis""]"
Meknès,Morocco,"[""Traditional Bread Making"", ""Wine Tasting at Volubilia-Domaine""]"
Melilla (Spanish North Africa),Spain,"[""Modernist Architecture Trail""]"
Mellieha,Malta,"[""Ghadira Bay"", ""Popeye Village"", ""Red Tower (St. Agatha\u2019s Tower)""]"
Menorca,Spain,"[""Pont d'en Gil Sea Arch""]"
Menorca (Balearic Islands),Spain,"[""Cova d'en Xoroi Cliff Bar""]"
Meroe,Sudan,"[""Meroe Pyramids""]"
Meteora,Greece,"[""Rock Climbing the Meteora Cliffs"", ""Sunset Tour of Monasteries""]"
Midès,Tunisia,"[""Mountain Oasis""]"
Milan,Italy,"[""Antica Barbieria Colla (Hidden Gem)"", ""Ape Bar (Hidden Gem)"", ""Bar Luce"", ""Bosco Verticale"", ""Brera District"", ""Campari Gallery (Hidden Gem)"", ""Cascina Cuccagna (Hidden Gem)"", ""Colonne di San Lorenzo"", ""Darsena (Hidden Gem)"", ""Duomo di Milano Rooftop Walk"", ""Fondazione Feltrinelli (Hidden Gem)"", ""Fonderie Milanesi (Hidden Gem)"", ""Frida Bar (Hidden Gem)"", ""Galleria Vittorio Emanuele II"", ""GinO12"", ""Hangar Bicocca (Hidden Gem)"", ""Highline Galleria"", ""La Vigna di Leonardo Wine Tasting"", ""Leonardo da Vinci Museum of Science"", ""Leonardo\u2019s Vineyard"", ""Libreria Bocca (Hidden Gem)"", ""Mercato di Via Fauch\u00e8"", ""Monumental Cemetery"", ""Museo del Novecento"", ""Navigli Canals"", ""Officina Profumo-Farmaceutica di Santa Maria Novella"", ""Osteria del Treno (Hidden Gem)"", ""Panzerotti at Luini"", ""Parco Sempione & Arco della Pace"", ""Pasticceria Marchesi"", ""Pinacoteca di Brera"", ""Pirelli Hangar Bicocca"", ""Porta Nuova & Piazza Gae Aulenti"", ""Prada Foundation"", ""QC Termemilano Spa"", ""Quadrilatero della Moda (Fashion District)"", ""San Bernardino alle Ossa (Hidden Gem)"", ""San Maurizio al Monastero Maggiore (Hidden Gem)"", ""San Simpliciano (Hidden Gem)"", ""Santa Maria presso San Satiro (Hidden Gem)"", ""Scalo Milano Outlet"", ""See The Last Supper"", ""Sforza Castle & Museums"", ""Street Art in Isola District (Hidden Gem)"", ""Teatro alla Scala"", ""Tempio della Notte (Secret Underground Spot)"", ""The Last Supper (Leonardo da Vinci)"", ""The Yard Hotel (Hidden Gem)"", ""Torre Branca (Hidden Gem)"", ""Trattoria Milanese"", ""Villa Necchi Campiglio (Hidden Gem)"", ""Visit the Duomo di Milano""]"
Milos,Greece,"[""Kayaking Through Kleftiko Caves"", ""Sarakiniko Beach Moon-Like Landscape"", ""Try Local Seafood at a Fishing Village""]"
Mirleft,Morocco,"[""Beach and Independent Travel""]"
Misfat al Abriyyin,Oman,"[""Village Walk""]"
Mljet,Croatia,"[""Bike Around Veliko Jezero"", ""Explore Mljet National Park"", ""Swim in Odysseus\u2019 Cave"", ""Visit St. Mary\u2019s Island in Veliko Jezero""]"
Mohéli,Comoros,"[""Fishing Villages Tour"", ""Hiking Trails in Moh\u00e9li"", ""Local Handicrafts Workshop"", ""Moh\u00e9li Marine Park"", ""Nioumachoua Beaches"", ""Turtle Nesting Tour""]"
Mojkovac,Montenegro,"[""Rafting on the Tara River""]"
Monastir,Tunisia,"[""Bourguiba Mosque"", ""Eat Couscous at Le Pirate"", ""Habib Bourguiba Mausoleum"", ""Horseback Riding Trip"", ""Monastir Marina"", ""Ribat of Monastir"", ""Sample Brik at Caf\u00e9 Sidi Bou""]"
Morača Canyon,Montenegro,"[""Drive through Mora\u010da Canyon""]"
Moulay Bousselham,Morocco,"[""Sunbathing and Birdwatching""]"
Muharraq,Bahrain,"[""Arad Fort"", ""Muharraq Island Beaches"", ""Pearling Path"", ""Sheikh Isa Bin Ali House""]"
Muhayil,Saudi arabia,"[""Bin Hamsan Heritage Village"", ""Wadi Thahlan""]"
Murcia,Spain,"[""Cueva del Puerto"", ""Salinas de San Pedro""]"
Muscat,Oman,"[""Al Alam Palace"", ""Al Jalali and Al Mirani Forts"", ""Bait Al Zubair Museum"", ""Muttrah Souq"", ""National Museum of Oman"", ""Qurum Beach"", ""Royal Opera House"", ""Sultan Qaboos Grand Mosque"", ""The Chedi Muscat""]"
Mykonos,Greece,"[""Lighthouse Armenistis"", ""Secret Beach: Fokos Beach"", ""Traditional Greek Farm Experience""]"
Málaga,Spain,"[""Cueva del Tesoro (Treasure Cave)"", ""El Tintero Seafood Restaurant""]"
M’Diq,Morocco,"[""Beach and Boardwalk""]"
Nabeul,Tunisia,"[""Archaeological Museum"", ""Eat Merguez at a Local Butcher"", ""Nabeul Beach"", ""Nabeul Market"", ""Pottery Workshops"", ""Taste Kamounia at Dar Belhouane"", ""Try Tunisian Pastries at Douja""]"
Najran,Saudi arabia,"[""Najran Fort""]"
Naples,Italy,"[""Cappella Sansevero"", ""Castel dell'Ovo"", ""Catacombs of San Gennaro (Hidden Gem)"", ""Certosa di San Martino & Viewpoint"", ""Day Trip to Capri"", ""Day Trip to Procida (Hidden Gem)"", ""Eat Pizza at L'Antica Pizzeria da Michele"", ""Eat the Original Neapolitan Pizza"", ""Explore Rione Sanit\u00e0 (Hidden Gem)"", ""Explore Underground Naples"", ""Galleria Borbonica (Hidden Gem)"", ""Herculaneum Ruins (Hidden Gem)"", ""Hike to the Top of Mount Vesuvius"", ""Local Wine Tasting in Campi Flegrei"", ""Piazza Bellini Nightlife"", ""Piazza del Plebiscito"", ""Pompeii Ruins"", ""Secret Tunnel of Bourbon (Hidden Gem)"", ""Solfatara Volcano (Hidden Gem)"", ""Street Art in the Spanish Quarter"", ""Stroll along Spaccanapoli"", ""Take the Funicular to Vomero"", ""Teatro di San Carlo"", ""Try Fried Pizza (Pizza Fritta)"", ""Try Sfogliatella at Scaturchio"", ""Underground Naples (Napoli Sotterranea)"", ""Via San Gregorio Armeno"", ""Visit the Naples National Archaeological Museum"", ""Visit the Phlegraean Fields (Hidden Gem)""]"
Navarra,Spain,"[""Bardenas Reales Desert""]"
Navarra (Pamplona),Spain,"[""San Nicol\u00e1s Hidden Pintxos Bar""]"
Naxos,Greece,"[""Explore Apeiranthos Village"", ""Visit the Portara at Sunset"", ""Windsurfing at Mikri Vigla Beach""]"
Nefta,Tunisia,"[""Chott el Jerid"", ""Dar Hi Eco Lodge""]"
Nicosia,Cyprus,"[""Explore the Famagusta Gate"", ""Rooftop View from Shacolas Tower"", ""Try Bougatsa"", ""Try Traditional Cypriot Coffee"", ""Visit Buyuk Han Caravanserai"", ""Visit the Cyprus Museum"", ""Visit the border zone"", ""Walk Through the Green Line Buffer Zone""]"
Nizwa,Oman,"[""Bahla Fort"", ""Jabal Akhdar"", ""Nizwa Fort"", ""Nizwa Souq""]"
Njeguši Village,Montenegro,"[""Taste Njegu\u0161ki Prosciutto""]"
North Coast,Egypt,"[""North Coast Beach Egypt""]"
North Sudan,Sudan,"[""Dongola Old City"", ""Jebel Barkal"", ""Kerma Museum"", ""Nuri Pyramids"", ""Temple of Soleb""]"
Nuweiba,Egypt,"[""Nuweiba-Taba Coastline""]"
Olbia,Italy (sardinia),"[""Explore Pittulongu Beach"", ""Explore Tavolara Island by Kayak"", ""Take a Boat Tour to Tavolara Island"", ""Try Bottarga (Cured Fish Roe) at a Local Trattoria"", ""Try Zuppa Gallurese (Sardinian Bread Soup)"", ""Visit Basilica di San Simplicio"", ""Visit San Teodoro\u2019s La Cinta Beach"", ""Visit the Archaeological Museum of Olbia""]"
Omiš,Croatia,"[""Ziplining Over Cetina Canyon""]"
Oran,Algeria,"[""A\u00efn-El-Turk"", ""Citadel of Casbah"", ""La Cathedrale du Sacre Coeur"", ""Palais de la Culture"", ""Sahara Desert Tour""]"
Oristano,Italy (sardinia),"[""Relax at Is Arutas Beach (The Rice Grain Beach)"", ""Try Bottarga Pasta at a Seaside Trattoria"", ""Visit Tharros, an Ancient Phoenician City"", ""Watch the Sartiglia Festival (February)""]"
Osijek,Croatia,"[""Visit Osijek\u2019s Old Fortress (Tvr\u0111a)""]"
Oualidia,Morocco,"[""Lagoon and Water Sports""]"
Ouarzazate,Morocco,"[""Taourirt Kasbah""]"
Oued Laou,Morocco,"[""Beach and Scenic Views""]"
Pag Island,Croatia,"[""Cheese Tasting in Kolan"", ""Explore Ruins of Old Town Pag"", ""Hike to the Moon-like Landscape of Pag"", ""Party at Zr\u0107e Beach"", ""Visit Pag Lace Gallery""]"
Pamukkale,Turkey,"[""Thermal Pools""]"
Paphos,Cyprus,"[""Aphrodite's Rock"", ""Boat Trip to the Blue Lagoon"", ""Discover the Mosaics of Paphos"", ""Discover the Secret Waterfall in Kritou Terra"", ""Explore Lara Beach & Turtle Conservation Area"", ""Hike the Avakas Gorge"", ""Ocean Basket Restaurant"", ""Sunset Dinner at a Cliffside Taverna"", ""Sunset at Petra tou Romiou (Aphrodite\u2019s Rock)"", ""Tombs of the Kings"", ""Visit the St. Neophytos Monastery"", ""Visit the Tombs of the Kings"", ""Wine Tasting at Vouni Panayia Winery""]"
Paros,Greece,"[""Discover the Hidden Cave of Antiparos"", ""Explore the Byzantine Walking Path"", ""Kolymbithres Beach Rock Formations""]"
Patmos,Greece,"[""Swim at Psili Ammos Beach"", ""Visit the Cave of the Apocalypse""]"
Pelješac Peninsula,Croatia,"[""Hike to Sveti Ilija Peak"", ""Oyster Tasting in Mali Ston"", ""Wine Tasting at Pelje\u0161ac Wineries""]"
Peloponnese,Greece,"[""Climb the Ancient Theater of Epidaurus"", ""Explore the Diros Caves"", ""Visit the Castle Town of Monemvasia""]"
Perast,Montenegro,"[""Explore the Museum of Perast"", ""Visit Our Lady of the Rocks Island"", ""Visit Saint Nicholas Church""]"
Petra,Jordan,"[""Aaron\u2019s Tomb"", ""Al-Khubtha Trail"", ""Bedouin Cooking Class"", ""Bedouin Jewelry Workshop"", ""Bedouin Tea with Local Family"", ""Byzantine Church"", ""Camel Ride to the Monastery"", ""Colonnaded Street"", ""Explore Petra\u2019s Flora"", ""Great Temple"", ""High Place of Sacrifice"", ""Horseback Ride through the Siq"", ""Little Petra (Siq al-Barid)"", ""Monastery"", ""Monastery (Ad-Deir)"", ""Nabatean Banquet"", ""Petra Archaeological Museum"", ""Petra Desert Eco Camp"", ""Petra Kitchen"", ""Petra Turkish Bath"", ""Petra by Night"", ""Petra by Night Tea"", ""Petra's Cave Bar"", ""Picnic at the Petra Church"", ""Qasr al-Bint"", ""Royal Tombs"", ""Sandstone Carving Workshop"", ""Siq"", ""Siq Canyon Walk"", ""Siq al-Mudhlim"", ""Street of Facades"", ""The Treasury Overlook"", ""Treasury"", ""Treasury (Al-Khazneh)"", ""Visit the Obelisk Tomb"", ""Wadi Rum Desert Tour""]"
Plav,Montenegro,"[""Hike to the Ali Pasha Springs"", ""Try fly-fishing on the Lim River"", ""Visit the Plav Lake""]"
Plitvice Lakes,Croatia,"[""Explore Plitvice Lakes National Park"", ""Visit the Upper Lakes (Gornja Jezera)"", ""Visit the Veliki Slap (Big Waterfall)"", ""Winter Hiking in Plitvice""]"
Plužine,Montenegro,"[""Explore Piva Lake"", ""Hike the Via Ferrata at Piva Canyon"", ""Rafting on the Piva River"", ""Visit Trnova\u010dko Lake""]"
Podgorica,Montenegro,"[""Discover Dajbabe Monastery"", ""Explore the ruins of Doclea"", ""Relax at Niagara Falls Podgorica"", ""Visit the Millennium Bridge"", ""Visit the Ribnica Bridge"", ""Visit the Stara Varo\u0161 (Old Town)""]"
Port Said,Egypt,"[""Egyptian Pastries & Sweets"", ""Gad Restaurant""]"
Port Sudan,Sudan,"[""Arkaweet"", ""Red Sea Diving"", ""Sanganeb National Park"", ""Suakin Island""]"
Prokletije National Park,Montenegro,"[""Hike the Peaks of the Balkans Trail"", ""Trek to Hrid Lake""]"
Protaras,Cyprus,"[""Kayak to the Love Bridge"", ""Visit Fig Tree Bay"", ""Walk the Protaras Coastal Boardwalk""]"
Pula,Croatia,"[""Tour the Pula Arena"", ""Visit the Temple of Augustus""]"
Qadisha,Lebanon,"[""Qadisha Valley""]"
Rab Island,Croatia,"[""Discover Zavratnica Bay"", ""Explore Rab Old Town"", ""Explore Rab\u2019s Hidden Beaches"", ""Visit Paradise Beach (Rajska Pla\u017ea)""]"
Rabat,Malta,"[""Domus Romana (Hidden Gem)""]"
Rabat,Morocco,"[""Chellah"", ""Dessert at P\u00e2tisserie Majestic"", ""Dine at Dinarjat"", ""Exploring the Medina's Food Stalls"", ""Hassan Tower and Mausoleum of Mohammed V"", ""Hidden Gem: Oudayas Kasbah Cafes"", ""Kasbah of the Udayas"", ""Taste of Moroccan Wines""]"
Ras Al Khaimah,United Arab Emirates,"[""Dhayah Fort"", ""Jebel Jais""]"
Rhodes,Greece,"[""Butterfly Valley"", ""Monolithos Castle"", ""Street of the Knights""]"
Riffa,Bahrain,"[""Riffa Fort"", ""The Royal Golf Club""]"
Rijeka,Croatia,"[""Hike to Trsat Castle"", ""Visit the Torpedo Launch Station""]"
Risan,Montenegro,"[""Visit the Roman Mosaics""]"
River Nile State,Sudan,"[""Al Dabbah"", ""Atrun Crater""]"
Riyadh,Saudi arabia,"[""Al Faisaliyah Center"", ""Al Masmak Fort Night Tour"", ""Al Murabba Historical Palace"", ""Al Nassr Store at Boulevard City"", ""Al Rajhi Mosque"", ""Battle Kart"", ""Diriyah"", ""Diriyah Biennale Cinema Nights"", ""Edge of the World"", ""Graffiti Rock"", ""Hotel of Terror"", ""House of Hype"", ""In The Night at SAMoCA"", ""King Abdullah Park Light Show"", ""Kingdom Centre Tower"", ""Late-Night Caf\u00e9s"", ""Masmak Fortress"", ""National Museum"", ""Night Safari at Nofa Wildlife Park"", ""Red Sand Dunes"", ""Riyadh Zoo"", ""Techno Lab at Merwas Rooftop"", ""Tuwaiq Palace"", ""Wadi Hanifah""]"
Rome,Italy,"[""Appian Way & Catacombs"", ""Aventine Keyhole (Hidden Gem)"", ""Basilica di San Giovanni in Laterano"", ""Basilica di San Paolo Fuori le Mura"", ""Basilica of San Clemente (Hidden Gem)"", ""Baths of Caracalla"", ""Campo de' Fiori Market"", ""Capitoline Museums"", ""Castel Sant\u2019Angelo"", ""Colosseum Tour"", ""EUR District (Hidden Gem)"", ""EUR Lake Park (Hidden Gem)"", ""Explore the Colosseum"", ""Galleria Borghese"", ""Janiculum Hill (Hidden Gem)"", ""Jewish Ghetto & Synagogue"", ""Orange Garden (Giardino degli Aranci)"", ""Palazzo Doria Pamphilj"", ""Pantheon"", ""Piazza Navona"", ""Roman Forum & Palatine Hill"", ""Santa Maria della Vittoria (Hidden Gem)"", ""Santa Maria in Trastevere"", ""St. Peter\u2019s Basilica Climb"", ""Testaccio Market"", ""Toss a Coin in Trevi Fountain"", ""Trastevere Neighborhood"", ""Trevi Fountain"", ""Vatican Museums & Sistine Chapel"", ""Via Appia Antica"", ""Villa Doria Pamphili Park (Hidden Gem)"", ""Visit Vatican City & St. Peter\u2019s Basilica""]"
Ronda,Spain,"[""Ba\u00f1os \u00c1rabes (Arab Baths)"", ""Puente Nuevo Secret Balcony""]"
Rovinj,Croatia,"[""Bike Through Istrian Vineyards"", ""Climb the Bell Tower of St. Euphemia\u2019s Church"", ""Explore Golden Cape Forest Park (Punta Corrente)"", ""Wander Rovinj Old Town""]"
Rozaje,Montenegro,"[""Explore Hajla Mountain""]"
Rožaje,Montenegro,"[""Visit the Ibar River Canyon""]"
Rustaq,Oman,"[""Al Hazm Castle"", ""Hot Springs""]"
Saar,Bahrain,"[""Barbar Temple"", ""Saar Archaeological Site""]"
Sahara Desert,Morocco,"[""Erg Chebbi Dunes"", ""Merzouga""]"
Sakhir,Bahrain,"[""Al Jasra Handicrafts Centre"", ""Bahrain International Circuit""]"
Salalah,Oman,"[""Al Mughsail Beach"", ""Frankincense Land Museum"", ""Wadi Darbat""]"
Salamanca,Spain,"[""Casa de las Conchas (House of Shells)"", ""Plaza Mayor Hidden Astronaut Carving""]"
Salmiya,Kuwait,"[""Al Fanar Mall""]"
Samobor,Croatia,"[""Taste Samoborska Krem\u0161nita""]"
Samothrace,Greece,"[""Hike to the Waterfalls of Fonias"", ""Visit the Sanctuary of the Great Gods""]"
San Sebastián,Spain,"[""Bar Txepetxa"", ""Monte Urgull Hidden Fort""]"
Sana'a,Yamen,"[""Al Saleh Mosque"", ""Bab al-Yemen"", ""Dar al-Hajar (Rock Palace)"", ""Local Food Tour"", ""National Museum of Yemen"", ""Old City of Sana'a""]"
Santiago de Compostela,Spain,"[""Parque da Alameda Hidden Sculptures"", ""San Mart\u00edn Pinario Monastery""]"
Santorini,Greece,"[""Explore Pyrgos Village"", ""Hidden Beach: White Beach"", ""Hike from Fira to Oia"", ""Visit the Lost Atlantis Museum"", ""Wine Tasting in Megalochori""]"
Sant’Antioco,Italy (sardinia),"[""Discover the Island of Sant\u2019Antioco"", ""Try Sardinian Pane Carasau (Crispy Flatbread)"", ""Visit the Ancient Tophet Necropolis""]"
Sarat Abidah,Saudi arabia,"[""Heritage Village""]"
Sardinia,Italy,"[""Relax on La Pelosa Beach""]"
Saïdia,Morocco,"[""Mediterranean Beach""]"
Sbeitla,Tunisia,"[""Roman Ruins""]"
Seef,Bahrain,"[""City Centre Bahrain""]"
Segovia,Spain,"[""Alc\u00e1zar Secret Tower Climb"", ""Casa de los Picos""]"
Setif,Algeria,"[""Setif Archaeological Museum""]"
Seville,Spain,"[""Alameda de H\u00e9rcules Alternative Scene"", ""Antiquarium de Sevilla (Underground Roman Ruins)"", ""Archivo General de Indias Secret Documents"", ""Attend Semana Santa (Holy Week) Processions"", ""Attend the April Fair (Feria de Abril)"", ""Bike along the Guadalquivir River"", ""Book a Stay at a Boutique Andalusian Hotel"", ""Callej\u00f3n del Agua"", ""Casa de Pilatos"", ""Catch a Local Jazz Concert at Naima Caf\u00e9"", ""Cementerio de San Fernando"", ""Climb La Giralda"", ""Convento de Santa Paula"", ""Day Trip to Italica Roman Ruins"", ""Eat at a Traditional Taberna in Triana"", ""El Salvador Church Rooftop Climb"", ""Enjoy a Coffee at Plaza del Cabildo"", ""Enjoy a Hammam Experience at Aire de Sevilla"", ""Enjoy a Jazz Night at Naima Caf\u00e9"", ""Enjoy a Vermouth Tasting at Casa Morales"", ""Enjoy an Andalusian Wine Tasting at Bodegas Gongora"", ""Experience the Nightlife at El Arenal"", ""Explore Calle Sierpes for Unique Shopping"", ""Explore a Traditional Andalusian Patio During Spring"", ""Explore the Archivo de Indias"", ""Explore the Contemporary Art Center at La Cartuja"", ""Explore the Hidden Courtyards of Seville"", ""Explore the Hidden Courtyards of the Palacio de los Marqueses de la Algaba"", ""Explore the Local Street Art Scene in Macarena"", ""Explore the Markets of Seville"", ""Explore the Ruins of Castillo de San Jorge"", ""Explore the Seville Cathedral"", ""Get a Traditional Sevillian Barber Experience"", ""Have Breakfast at Bar El Comercio"", ""Have a Late-Night Chocolate & Churros at Kiosco de San Eloy"", ""Have a Rooftop Dinner with a View of the Cathedral"", ""Have a Sangria or Tinto de Verano by the River"", ""Have a Sunset Picnic by the Guadalquivir River"", ""Hike in the Sierra Norte Natural Park"", ""Hospital de los Venerables"", ""Iglesia de San Luis de los Franceses"", ""Indulge in Torrijas (Spanish-Style French Toast)"", ""Isla de la Cartuja Hidden Monastery"", ""La Carboner\u00eda Flamenco Bar"", ""Las Setas de Sevilla"", ""Las Setas de Sevilla (Metropol Parasol)"", ""Mercado de Feria"", ""Metropol Parasol (Las Setas)"", ""Palacio de la Condesa de Lebrija"", ""Parque de Mar\u00eda Luisa Hidden Glorietas"", ""Picnic in Parque de Mar\u00eda Luisa"", ""Relax at Aire Ancient Baths Seville"", ""Relax in Parque de Mar\u00eda Luisa"", ""Relax with a Book at Casa Tomada Caf\u00e9"", ""Row a Boat in Plaza de Espa\u00f1a\u2019s Canal"", ""Santa Cruz Secret Courtyards"", ""Savor Salmorejo (Cold Tomato Soup)"", ""See a Bullfight at Plaza de Toros"", ""Sip Orange Wine in a Traditional Bodega"", ""Stay at a Luxury Spa Hotel for a Night of Pampering"", ""Stay in a Traditional Andalusian Courtyard Hotel"", ""Stroll through Plaza de Espa\u00f1a"", ""Take a Day Trip to Carmona"", ""Take a Horse-Drawn Carriage Ride"", ""Take a Photography Walk in Barrio San Bartolom\u00e9"", ""Take a Rooftop Bar Crawl"", ""Take a Slow Walk Along Calle Betis"", ""Take a Sunset River Cruise"", ""Take a Tapas Cooking Class"", ""Take a Tapas and Wine Tour"", ""Taste Jam\u00f3n Ib\u00e9rico at Mercado de Triana"", ""Taste Manchego Cheese with Local Honey"", ""Taste Montaditos (Mini Sandwiches) at a Local Bar"", ""Torre de Don Fadrique"", ""Tour a Sherry Bodega"", ""Tour the Santa Cruz Quarter"", ""Triana Market & Secret Ruins Beneath It"", ""Try Churros with Chocolate"", ""Try Espinacas con Garbanzos"", ""Try Flamenqu\u00edn (Ham and Cheese Roll)"", ""Try Rabo de Toro (Oxtail Stew)"", ""Try a Seafood Paella by the Guadalquivir River"", ""Try a Vegan Tapas Experience"", ""Try the Local Tinto de Verano"", ""Unwind at a Hidden Garden Caf\u00e9"", ""Visit Casa de Pilatos"", ""Visit Palacio de las Due\u00f1as"", ""Visit the Alc\u00e1zar of Seville"", ""Visit the Flamenco Dance Museum"", ""Visit the Fundaci\u00f3n Tres Culturas"", ""Visit the Hidden Church of San Luis de los Franceses"", ""Visit the Hospital de los Venerables"", ""Visit the Monastery of Santa Paula"", ""Visit the Museum of Fine Arts"", ""Visit the Palacio de la Condesa de Lebrija"", ""Visit the Seville Aquarium"", ""Visit the Torre del Oro"", ""Visit the Underground Caves of Seville (Las Cuevas de H\u00e9rcules)"", ""Wander Through Alameda de H\u00e9rcules"", ""Wander Through the Old Tobacco Factory (University of Seville)"", ""Watch a Flamenco Show in Triana"", ""Watch the Sunset from the Triana Bridge""]"
Sfax,Tunisia,"[""Eat Seafood at Le Pirate"", ""Enjoy Asida at Dar Sfax"", ""Sample Makroud at Makroud Ennour""]"
Sfiha,Morocco,"[""Relaxation and Seafood""]"
Shaharah,Yamen,"[""Shaharah Bridge""]"
Sharjah,United Arab Emirates,"[""Al Qasba"", ""Sharjah Museum of Islamic Civilization""]"
Sharm El Sheikh,Egypt,"[""Alf Leila Wa Leila"", ""Naama Bay"", ""Ras Mohammed National Park""]"
Sharm el Sheikh,Egypt,"[""Naama Bay"", ""Ras Um Sid""]"
Shibam,Yamen,"[""Shibam Fortress"", ""Visit Shibam""]"
Sicily (Taormina),Italy,"[""Visit the Greek Theatre""]"
Sidi Kaouki,Morocco,"[""Beach Activities""]"
Sidon,Lebanon,"[""Sidon Sea Castle"", ""Sidon Soap Museum""]"
Sifnos,Greece,"[""Hike to the Church of the Seven Martyrs"", ""Pottery Workshop with Local Artisans"", ""Taste the Famous Chickpea Stew (Revithada)""]"
Siggiewi,Malta,"[""Limestone Heritage Park (Hidden Gem)""]"
Siwa Oasis,Egypt,"[""Abdu\u2019s Restaurant"", ""Aghurmi Restaurant"", ""Bedouin Desert Dinner"", ""Fatnas Island Caf\u00e9"", ""Shali Fortress""]"
Skyros,Greece,"[""Horseback Riding on the Beach"", ""Yoga & Wellness Retreats""]"
Slavonia,Croatia,"[""Explore Kopa\u010dki Rit Nature Park"", ""Visit \u0110akovo Cathedral""]"
Sliema,Malta,"[""Sliema Promenade Walk"", ""The Point Shopping Mall""]"
Socotra Island,Yamen,"[""Arher Beach"", ""Detwah Lagoon"", ""Dihamri Marine Protected Area"", ""Diksam Camping Experience"", ""Dixam Plateau"", ""Dragon Blood Trees"", ""Explore Socotra Island"", ""Homhil Protected Area"", ""Kalysan Canyon"", ""Qalansiyah Beach"", ""Shoab Beach"", ""Snorkeling at Ras Qatanib""]"
Sohar,Oman,"[""Sohar Fort""]"
Soria,Spain,"[""Numantia Ancient Ruins""]"
Soria (Castilla y León),Spain,"[""Laguna Negra (Black Lagoon)""]"
Soudah,Saudi arabia,"[""Gurun Historic Route""]"
Sousse,Tunisia,"[""Boujaafar Beach"", ""Catacombs of Sousse"", ""Dine at La Villa"", ""Dine at The Saloon"", ""Drink at Le Bohemia"", ""Drink at The Red Iguana"", ""Eat Fresh Seafood at La Plage"", ""Enjoy Live Music at Le Consul"", ""Experience El Kantaoui Harbor"", ""Great Mosque of Sousse"", ""Medina of Sousse"", ""Party at ARSLEN Club"", ""Port El Kantaoui"", ""Relax at Caf\u00e9 Maure"", ""Ribat of Sousse"", ""Stroll on Boujaafar Beach Promenade"", ""Thalassotherapy"", ""Try Chakchouka at La Canta"", ""Visit Bananas Club"", ""Visit El Kasbah Restaurant""]"
Southern Sudan,Sudan,"[""Nimule National Park""]"
Split,Croatia,"[""Explore Marjan Hill"", ""Visit Diocletian\u2019s Palace""]"
Ston,Croatia,"[""Walk the Ston Walls""]"
Sudan-Egypt Border,Sudan,"[""Lake Nubia""]"
Sur,Oman,"[""Al Ayjah Lighthouse"", ""Dhow Factory"", ""Ras Al Jinz Turtle Reserve""]"
Sutomore,Montenegro,"[""Hike to the Fortress of Haj-Nehaj"", ""Visit Maljevik Beach""]"
Sveti Stefan,Montenegro,"[""Relax at Milo\u010der Beach"", ""Take photos of Sveti Stefan Island""]"
Symi,Greece,"[""Admire the Neoclassical Mansions"", ""Discover the Hidden Beach of Agios Georgios""]"
Taba,Egypt,"[""Fjord Bay""]"
